year,q1_growth,q2_growth,approval,incumbent,vote,win,,
2016.00,1.50,2.30,2.20,1.00,51.10,0.00,,
2012.00,2.00,1.30,-0.80,0.00,51.10,1.00,,
2008.00,-1.80,1.30,-37.00,1.00,46.30,0.00,,
2004.00,2.70,2.60,-0.50,0.00,51.20,1.00,,
2000.00,1.10,8.00,19.50,1.00,50.30,0.00,,
1996.00,2.80,7.10,15.50,0.00,54.70,1.00,,
1992.00,4.50,4.30,-18.00,1.00,46.50,0.00,,
1988.00,2.10,5.20,10.00,1.00,53.90,1.00,,
1984.00,8.00,7.10,20.00,0.00,59.20,1.00,,
1980.00,1.30,-7.90,-21.70,0.00,44.70,0.00,,
1976.00,9.40,3.00,5.00,1.00,48.90,0.00,,
1972.00,7.30,9.80,26.00,0.00,61.80,1.00,,
1968.00,8.50,7.00,-5.00,1.00,49.60,0.00,,
1964.00,9.30,4.70,60.30,0.00,61.30,1.00,,
1960.00,9.30,-1.90,37.00,1.00,49.90,0.00,,
1956.00,-1.80,3.20,53.50,0.00,57.80,1.00,,
1952.00,4.10,0.40,-27.00,1.00,44.50,0.00,,
1948.00,6.50,7.50,-6.00,1.00,52.40,1.00,,
